experiment_family,training_sequence,train_dataset_name,eval_dataset_name,experiment_id,prediction_mode,train_num_keypoints,shared_10_eval,lambda_hm,lambda_coord,heatmap_sigma,wing_w,wing_epsilon,n,num_seeds,metrics.sse_norm_mean,metrics.sse_norm_std,metrics.epe_norm_mean,metrics.epe_norm_std,metrics.pck_mean,metrics.pck_std
ablation,rhd,rhd,rhd,S1,coord,21,False,1.0,1.0,1.5,10.0,2.0,5,5,0.32694878032829755,0.03824100181328487,0.070676399536039,0.004627927173023601,0.9117042805543459,0.008561877465518043
ablation,rhd,rhd,rhd,S1,fusion,21,False,1.0,1.0,1.5,10.0,2.0,5,5,0.32524430487862077,0.038106122585470574,0.0707090248181982,0.005511914942260739,0.9115915669749212,0.008618350294295266
ablation,rhd,rhd,rhd,S1,fusion,21,True,1.0,1.0,1.5,10.0,2.0,5,5,0.15755253101199254,0.016938167455475092,0.0716663679647205,0.005234166449770882,0.911248255876355,0.009205945071838457
ablation,rhd,rhd,rhd,S1,heatmap,21,False,1.0,1.0,1.5,10.0,2.0,5,5,0.44728201424970654,0.4056043330176135,0.09687365537222699,0.041225711269797266,0.9124522888541641,0.07012608948495419
ablation,rhd,rhd,rhd,S2,coord,21,False,1.0,1.0,3.0,10.0,2.0,5,5,0.3174434440751229,0.04908652935494363,0.08465950253966414,0.0071532653792248805,0.9175192765837539,0.008114223751961505
ablation,rhd,rhd,rhd,S2,fusion,21,False,1.0,1.0,3.0,10.0,2.0,5,5,0.31371164157593356,0.04881451466028128,0.08334999495874032,0.005777659288097886,0.917760073776161,0.008019642217845003
ablation,rhd,rhd,rhd,S2,fusion,21,True,1.0,1.0,3.0,10.0,2.0,5,5,0.15342146059459955,0.02221303750155555,0.07989815568366096,0.004989270463049698,0.9164645272083287,0.006818096810565987
ablation,rhd,rhd,rhd,S2,heatmap,21,False,1.0,1.0,3.0,10.0,2.0,5,5,0.27370584334446185,0.06444595787112664,0.08059876871410719,0.013105009926241184,0.9466096267643518,0.01320476080793546
ablation,rhd,rhd,rhd,W1,coord,21,False,1.0,1.0,2.0,5.0,2.0,5,5,0.32469484150584493,0.03776707049672294,0.07475070001087335,0.005908895289739051,0.9150805645925659,0.010095312795425066
ablation,rhd,rhd,rhd,W1,fusion,21,False,1.0,1.0,2.0,5.0,2.0,5,5,0.32120545135040784,0.03842882747035367,0.07370941562175225,0.005803200440691016,0.9150395778364115,0.00991043758530047
ablation,rhd,rhd,rhd,W1,fusion,21,True,1.0,1.0,2.0,5.0,2.0,5,5,0.15643219336474048,0.016856813965343286,0.0720572938680572,0.003887521796003053,0.9140817859826125,0.010125058894048727
ablation,rhd,rhd,rhd,W1,heatmap,21,False,1.0,1.0,2.0,5.0,2.0,5,5,0.28685081692909564,0.07838176796698729,0.09567559167468273,0.04805445762777197,0.9434485231959423,0.006464520921414633
ablation,rhd,rhd,rhd,W2,coord,21,False,1.0,1.0,2.0,15.0,2.0,5,5,0.30023255234589674,0.04385189612119968,0.07527440379876858,0.0027985635788879627,0.9141481158900531,0.012313154106420664
ablation,rhd,rhd,rhd,W2,fusion,21,False,1.0,1.0,2.0,15.0,2.0,5,5,0.29787118469864743,0.044140267273830136,0.07499767338352852,0.0031418425586396143,0.9140149089325511,0.012334373457144202
ablation,rhd,rhd,rhd,W2,fusion,21,True,1.0,1.0,2.0,15.0,2.0,5,5,0.14564887339418583,0.02099242476260201,0.07546155995484316,0.002418453102164856,0.9124825587635504,0.011549986211636321
