experiment_family,training_sequence,train_dataset_name,eval_dataset_name,experiment_id,prediction_mode,shared_10_eval,train_num_keypoints,eval_num_keypoints,train_hand,train_input_size,tips_bases_only,lambda_hm,lambda_coord,heatmap_sigma,wing_w,wing_epsilon,n,num_seeds,metrics.sse_norm_mean,metrics.sse_norm_std,metrics.epe_norm_mean,metrics.epe_norm_std,metrics.pck_mean,metrics.pck_std,metrics.timing.ms_per_image_mean,metrics.timing.ms_per_image_std,metrics.timing.images_per_second_mean,metrics.timing.images_per_second_std
ablation,rhd,rhd,rhd,E1,fusion,True,21,10,right,256,False,1.0,1.0,2.0,10.0,1.0,5,5,0.1450576617046535,0.029020170129009665,0.07065361335552134,0.0009387674374139147,0.9166899216485994,0.011705664891740148,0.8099697729643663,0.0007735867797034489,1234.614875011222,1.1795885377636768
ablation,rhd,rhd,rhd,E1,heatmap,False,21,21,right,256,False,1.0,1.0,2.0,10.0,1.0,5,5,0.2707099788174951,0.017202076168142257,0.08865390032668014,0.015870115160837337,0.9444578220662448,0.0030087056069960016,0.7992086798236692,0.004307769362912343,1251.2666855890063,6.730916862363214
ablation,rhd,rhd,rhd,E2,coord,False,21,21,right,256,False,1.0,1.0,2.0,10.0,4.0,5,5,0.3177718762778117,0.011543431469869695,0.0900721599458564,0.006451658699263862,0.9107718318518329,0.006698721529423633,0.7850482642016977,0.002758986010868851,1273.8195785313965,4.462262208986797
ablation,rhd,rhd,rhd,E2,fusion,False,21,21,right,256,False,1.0,1.0,2.0,10.0,4.0,5,5,0.3105568905729702,0.010625249336291958,0.0873226667173018,0.005557110845771986,0.9110228757332786,0.006730634822185988,0.8154500772919823,0.01027112955771253,1226.469756893733,15.19530478424972
ablation,rhd,rhd,rhd,E2,fusion,True,21,10,right,256,False,1.0,1.0,2.0,10.0,4.0,5,5,0.15137694918515046,0.006071090530000876,0.0823469280109035,0.0034099053191652367,0.9102393474294301,0.00715598723757868,0.8134377505794124,0.005462502328862434,1229.3946176722886,8.236240458711722
ablation,rhd,rhd,rhd,E2,heatmap,False,21,21,right,256,False,1.0,1.0,2.0,10.0,4.0,5,5,0.32625868795903895,0.08042327131874932,0.0814016626186387,0.013062264094712584,0.9394062043702128,0.00678249838235267,0.7961924176914426,0.0014910151724098284,1255.9813236112077,2.352948622487402
ablation,rhd,rhd,rhd,L1,coord,False,21,21,right,256,False,1.5,0.5,2.0,10.0,2.0,5,5,0.3611799785992966,0.052780224126237174,0.0733274367835448,0.011505760357639462,0.9080820759791992,0.009184647169772872,1.2742472932704032,0.0030549879279752096,784.780637108804,1.883252489262156
ablation,rhd,rhd,rhd,L1,fusion,False,21,21,right,256,False,1.5,0.5,2.0,10.0,2.0,5,5,0.35834798101455934,0.053399371618810546,0.07246053892926616,0.009581867453165088,0.9080820759791992,0.009213555615911322,1.3056124656125248,0.0022406893494956487,765.9258644940585,1.3145619615857564
ablation,rhd,rhd,rhd,L1,fusion,True,21,10,right,256,False,1.5,0.5,2.0,10.0,2.0,5,5,0.17571927997723352,0.025189094409356252,0.07193640428153923,0.007193774557256846,0.906686701728024,0.009148831397422523,1.3050899264618447,0.001922235668791643,766.2320567449306,1.130578234500217
ablation,rhd,rhd,rhd,L1,heatmap,False,21,21,right,256,False,1.5,0.5,2.0,10.0,2.0,5,5,0.2890648698527093,0.03043995015541032,0.08434853019121194,0.013237857348124264,0.941358198632067,0.006748351079000832,1.288471467071964,0.0024250359665585284,776.1156204091031,1.459797422829541
ablation,rhd,rhd,rhd,L2,coord,False,21,21,right,256,False,0.5,1.5,2.0,10.0,2.0,5,5,0.3097913606425534,0.02709023447377863,0.08175150361202668,0.004271995755897753,0.9114891000845352,0.009766480895865294,0.8862255457952575,0.21639647197826517,1170.4531881515154,215.3993490440334
ablation,rhd,rhd,rhd,L2,fusion,False,21,21,right,256,False,0.5,1.5,2.0,10.0,2.0,5,5,0.3073456182158238,0.026003984220184077,0.08116976140931051,0.0021672523267950734,0.9114583600174194,0.009511458398603359,0.9117339882464354,0.2215432885093758,1137.330029809103,208.44276531019617
ablation,rhd,rhd,rhd,L2,fusion,True,21,10,right,256,False,0.5,1.5,2.0,10.0,2.0,5,5,0.14953933231467026,0.013052039024153032,0.07889806563805342,0.0010509377299257909,0.910271546635183,0.009953004308017101,0.8142716174841451,0.005703722437126624,1228.1393863877113,8.556908206818935
ablation,rhd,rhd,rhd,L2,heatmap,False,21,21,right,256,False,0.5,1.5,2.0,10.0,2.0,5,5,0.5711495441250787,0.40569422473741484,0.10784995529065748,0.024527537519568748,0.8909496119066527,0.07974069142797846,0.8976894354343938,0.22170370518410232,1156.3617438679942,214.56187996583577
ablation,rhd,rhd,rhd,S1,coord,False,21,21,right,256,False,1.0,1.0,1.5,10.0,2.0,5,5,0.3269508482074458,0.03819957312371262,0.07067682014264225,0.00462511158044023,0.9117196505879038,0.008535279006351891,0.7829404755596541,0.0034890108241930635,1277.2565858789171,5.688870976113505
ablation,rhd,rhd,rhd,S1,fusion,False,21,21,right,256,False,1.0,1.0,1.5,10.0,2.0,5,5,0.3252201940132376,0.03805970683213622,0.07071377104153279,0.00552925264615832,0.9116223070420372,0.008613696775585959,0.8132793951528339,0.0029083328885588034,1229.6022957462703,4.3888473441705775
ablation,rhd,rhd,rhd,S1,fusion,True,21,10,right,256,False,1.0,1.0,1.5,10.0,2.0,5,5,0.1575332704002906,0.016911304342849764,0.07168560935996231,0.005215500310745087,0.9112267897391865,0.009173352228454045,0.812880121324419,0.0008325830931342064,1230.1947273890207,1.2600135302492115
ablation,rhd,rhd,rhd,S1,heatmap,False,21,21,right,256,False,1.0,1.0,1.5,10.0,2.0,5,5,0.4473564521832899,0.40592096183534854,0.09687824111970919,0.04121786178488544,0.9124420421651254,0.0701367596868429,0.7968568374181598,0.0015677741881333506,1254.9344500102068,2.469268620406685
ablation,rhd,rhd,rhd,S2,coord,False,21,21,right,256,False,1.0,1.0,3.0,10.0,2.0,5,5,0.3174659548092448,0.04908636903456153,0.08465867875971309,0.007157800633812081,0.9174782898275995,0.008153356529726472,0.785016608520075,0.002265254606879012,1273.866859755186,3.665130705974484
ablation,rhd,rhd,rhd,S2,fusion,False,21,21,right,256,False,1.0,1.0,3.0,10.0,2.0,5,5,0.31373726230912197,0.04883611894588422,0.08334225472036583,0.00579513914782777,0.9177139636754873,0.008053504035382561,0.8123433097235617,0.0032726926433197237,1231.0225425161161,4.937279953606287
